symbol,strategy_id,side,entry_price,exit_price,qty,gross_pnl,fees_paid,net_pnl,opened_at,closed_at,duration_seconds
BTCUSDT,breakout,short,16446.873856,14424.50434,0.0741,149.8576,2.2876,147.57,2023-03-26T00:00:00+00:00,2023-03-29T16:00:00+00:00,316800.0
BTCUSDT,breakout,long,17119.085164,16694.721682,0.1213,-51.4753,4.1016,-55.5769,2023-06-29T20:00:00+00:00,2023-06-30T00:00:00+00:00,14400.0
BTCUSDT,breakout,long,19621.769817,19293.403607,0.155,-50.8968,6.0319,-56.9286,2023-07-26T20:00:00+00:00,2023-07-26T20:00:00+00:00,0.0
BTCUSDT,breakout,short,22996.421024,21011.69041,0.0761,151.038,3.349,147.689,2023-08-28T16:00:00+00:00,2023-08-29T08:00:00+00:00,57600.0
BTCUSDT,breakout,long,26391.64315,25761.896005,0.0822,-51.7652,4.287,-56.0522,2023-09-21T08:00:00+00:00,2023-09-21T20:00:00+00:00,43200.0
BTCUSDT,breakout,short,23036.038744,23807.354803,0.0664,-51.2154,3.1104,-54.3258,2024-02-21T08:00:00+00:00,2024-02-22T00:00:00+00:00,57600.0
BTCUSDT,breakout,long,24386.340925,23716.807263,0.0378,-25.3084,1.8183,-27.1267,2024-03-17T04:00:00+00:00,2024-03-17T12:00:00+00:00,28800.0
BTCUSDT,breakout,long,37085.282481,36666.863669,0.0191,-7.9918,1.4087,-9.4005,2024-10-15T16:00:00+00:00,2024-10-15T16:00:00+00:00,0.0
