symbol,strategy_id,side,entry_price,exit_price,qty,gross_pnl,fees_paid,net_pnl,opened_at,closed_at,duration_seconds
BTCUSDT,ema_crossover,long,13896.283445,13568.118289,0.1523,-49.9796,4.1828,-54.1624,2023-03-31T21:00:00+00:00,2023-04-02T23:00:00+00:00,180000.0
BTCUSDT,ema_crossover,short,12403.381201,11681.784444,0.2056,148.3603,4.9519,143.4084,2023-05-26T11:00:00+00:00,2023-05-27T00:00:00+00:00,46800.0
BTCUSDT,ema_crossover,short,21632.571026,22108.905942,0.1068,-50.8726,4.6716,-55.5442,2023-07-30T00:00:00+00:00,2023-07-30T05:00:00+00:00,18000.0
BTCUSDT,ema_crossover,long,22373.166058,24030.012155,0.0911,150.9387,4.2273,146.7113,2023-08-29T20:00:00+00:00,2023-08-30T08:00:00+00:00,43200.0
BTCUSDT,ema_crossover,short,22631.980731,23104.878813,0.1095,-51.7823,5.0082,-56.7905,2024-01-02T22:00:00+00:00,2024-01-04T23:00:00+00:00,176400.0
BTCUSDT,ema_crossover,short,24008.773989,22305.436681,0.0902,153.641,4.1775,149.4635,2024-01-15T20:00:00+00:00,2024-01-16T23:00:00+00:00,97200.0
BTCUSDT,ema_crossover,short,26488.368495,27117.868377,0.0837,-52.6891,4.4868,-57.176,2024-02-14T00:00:00+00:00,2024-02-14T06:00:00+00:00,21600.0
